marca_tiempo,id_maquina,linea,temperatura_c,vibracion_mm_s,presion_bar,unidades_producidas,estado
2025-06-02 16:45:00,MAQ-02,Linea A,101.48,4.321,5.372,98,ALARMA
2025-06-02 17:00:00,MAQ-03,Linea B,78.79,3.423,4.628,164,AVISO
2025-06-02 17:15:00,MAQ-03,Linea B,76.77,1.596,5.643,118,AVISO
2025-06-02 17:30:00,MAQ-04,Linea B,77.67,1.601,5.332,147,AVISO
2025-06-02 17:45:00,MAQ-01,Linea A,68.36,3.139,5.639,145,OK
2025-06-02 18:00:00,MAQ-04,Linea B,55.66,1.581,5.737,114,OK
2025-06-02 18:15:00,MAQ-02,Linea A,60.74,1.361,5.829,133,OK
2025-06-02 18:30:00,MAQ-04,Linea B,63.21,1.993,5.486,123,OK
2025-06-02 18:45:00,MAQ-01,Linea A,68.87,2.033,4.853,84,OK
2025-06-02 19:00:00,MAQ-01,Linea A,58.85,2.606,5.038,89,OK
2025-06-02 19:15:00,MAQ-03,Linea B,71.91,2.486,6.383,107,OK
2025-06-02 19:30:00,MAQ-01,Linea A,66.68,1.35,4.728,111,OK
2025-06-02 19:45:00,MAQ-04,Linea B,72.75,3.044,5.577,117,OK
2025-06-02 20:00:00,MAQ-04,Linea B,78.29,0.969,5.478,96,AVISO
2025-06-02 20:15:00,MAQ-01,Linea A,61.14,3.017,5.201,145,OK
2025-06-02 20:30:00,MAQ-03,Linea B,71.08,1.593,5.573,85,OK
2025-06-02 20:45:00,MAQ-02,Linea A,58.66,2.778,5.612,97,OK
2025-06-02 21:00:00,MAQ-01,Linea A,66.04,1.376,5.441,111,OK
2025-06-02 21:15:00,MAQ-03,Linea B,70.08,2.411,5.021,120,OK
2025-06-02 21:30:00,MAQ-02,Linea A,67.68,0.049,5.407,149,OK
2025-06-02 21:45:00,MAQ-03,Linea B,59.84,2.231,5.461,110,OK
2025-06-02 22:00:00,MAQ-01,Linea A,69.82,2.432,5.586,150,OK
2025-06-02 22:15:00,MAQ-02,Linea A,68.48,2.117,4.679,139,OK
2025-06-02 22:30:00,MAQ-01,Linea A,63.99,4.188,5.089,89,OK
2025-06-02 22:45:00,MAQ-03,Linea B,69.08,2.435,5.034,146,OK
2025-06-02 23:00:00,MAQ-04,Linea B,72.68,1.785,4.868,121,OK
2025-06-02 23:15:00,MAQ-04,Linea B,79.91,2.868,5.091,156,AVISO
2025-06-02 23:30:00,MAQ-03,Linea B,67.19,3.584,5.032,120,OK
2025-06-02 23:45:00,MAQ-04,Linea B,70.04,1.836,5.796,83,OK
2025-06-03 00:00:00,MAQ-02,Linea A,54.85,1.152,5.416,93,OK
2025-06-03 00:15:00,MAQ-03,Linea B,67.84,2.729,5.546,160,OK
2025-06-03 00:30:00,MAQ-01,Linea A,68.22,2.304,5.237,81,OK
2025-06-03 00:45:00,MAQ-01,Linea A,75.23,2.618,5.498,124,OK
2025-06-03 01:00:00,MAQ-03,Linea B,67.97,2.701,5.487,153,OK
2025-06-03 01:15:00,MAQ-02,Linea A,73.92,1.736,5.603,82,OK
2025-06-03 01:30:00,MAQ-02,Linea A,60.38,0.905,5.595,130,OK
2025-06-03 01:45:00,MAQ-03,Linea B,74.36,4.004,,87,OK
2025-06-03 02:00:00,MAQ-01,Linea A,79.97,1.484,4.504,112,AVISO
2025-06-03 02:15:00,MAQ-04,Linea B,86.56,2.207,5.397,85,ALARMA
2025-06-03 02:30:00,MAQ-03,Linea B,64.8,2.835,5.442,112,OK
2025-06-03 02:45:00,MAQ-03,Linea B,76.53,1.685,4.52,135,AVISO
2025-06-03 03:00:00,MAQ-03,Linea B,68.51,2.305,5.454,119,OK
2025-06-03 03:15:00,MAQ-04,Linea B,78.2,2.781,5.017,128,AVISO
2025-06-03 03:30:00,MAQ-03,Linea B,76.99,1.096,5.211,151,AVISO
2025-06-03 03:45:00,MAQ-03,Linea B,66.57,2.78,5.013,85,OK
2025-06-03 04:00:00,MAQ-02,Linea A,73.23,1.859,5.147,99,OK
2025-06-03 04:15:00,MAQ-02,Linea A,63.6,3.025,5.548,159,OK
2025-06-03 04:30:00,MAQ-03,Linea B,51.63,1.562,5.965,106,OK
2025-06-03 04:45:00,MAQ-02,Linea A,82.36,1.584,5.54,110,AVISO
2025-06-03 05:00:00,MAQ-01,Linea A,62.96,2.642,5.136,127,OK
2025-06-03 05:15:00,MAQ-04,Linea B,59.97,2.327,3.909,91,OK
2025-06-03 05:30:00,MAQ-02,Linea A,54.36,3.311,5.045,124,OK
2025-06-03 05:45:00,MAQ-03,Linea B,68.59,1.054,5.032,160,OK
2025-06-03 06:00:00,MAQ-04,Linea B,73.57,3.057,5.054,101,OK
2025-06-03 06:15:00,MAQ-03,Linea B,76.26,2.863,4.703,121,AVISO
2025-06-03 06:30:00,MAQ-03,Linea B,67.73,1.89,4.834,134,OK
2025-06-03 06:45:00,MAQ-01,Linea A,60.58,1.877,5.694,81,OK
2025-06-03 07:00:00,MAQ-01,Linea A,73.92,2.849,5.549,153,OK
2025-06-03 07:15:00,MAQ-04,Linea B,67.42,2.445,5.171,105,OK
2025-06-03 07:30:00,MAQ-04,Linea B,64.43,3.166,5.567,160,OK
2025-06-03 07:45:00,MAQ-03,Linea B,69.26,1.449,5.013,132,OK
2025-06-03 08:00:00,MAQ-02,Linea A,70.69,3.731,5.857,82,OK
2025-06-03 08:15:00,MAQ-02,Linea A,63.29,1.982,4.91,88,OK
2025-06-03 08:30:00,MAQ-04,Linea B,68.25,2.907,5.044,135,OK
2025-06-03 08:45:00,MAQ-01,Linea A,61.53,3.407,5.512,109,OK
2025-06-03 09:00:00,MAQ-04,Linea B,65.19,2.155,5.033,111,OK
2025-06-03 09:15:00,MAQ-03,Linea B,59.65,2.255,5.18,132,OK
2025-06-03 09:30:00,MAQ-03,Linea B,71.62,1.287,4.81,88,OK
2025-06-03 09:45:00,MAQ-01,Linea A,74.46,3.017,5.757,84,OK
2025-06-03 10:00:00,MAQ-02,Linea A,70.24,2.8,5.085,149,OK
2025-06-03 10:15:00,MAQ-01,Linea A,74.82,1.629,5.19,88,OK
2025-06-03 10:30:00,MAQ-01,Linea A,59.35,2.818,4.639,118,OK
2025-06-03 10:45:00,MAQ-03,Linea B,75.84,3.672,5.716,95,OK
2025-06-03 11:00:00,MAQ-04,Linea B,65.28,3.683,4.514,144,OK
2025-06-03 11:15:00,MAQ-03,Linea B,72.65,2.955,6.065,119,OK
2025-06-03 11:30:00,MAQ-03,Linea B,68.58,2.751,5.276,152,OK
2025-06-03 11:45:00,MAQ-04,Linea B,70.4,1.678,4.118,162,OK
2025-06-03 12:00:00,MAQ-01,Linea A,71.85,1.85,5.398,136,OK
2025-06-03 12:15:00,MAQ-02,Linea A,97.56,3.175,4.308,112,ALARMA
2025-06-03 12:30:00,MAQ-02,Linea A,76.51,3.053,5.613,139,AVISO
2025-06-03 12:45:00,MAQ-03,Linea B,59.38,3.084,5.94,87,OK
2025-06-03 13:00:00,MAQ-01,Linea A,67.16,2.573,4.733,107,OK
2025-06-03 13:15:00,MAQ-02,Linea A,59.2,1.241,4.828,160,OK
2025-06-03 13:30:00,MAQ-02,Linea A,65.42,2.017,5.236,154,OK
2025-06-03 13:45:00,MAQ-02,Linea A,69.52,1.918,5.525,110,OK
2025-06-03 14:00:00,MAQ-01,Linea A,71.15,2.742,5.572,142,OK
2025-06-03 14:15:00,MAQ-01,Linea A,79.66,2.435,4.76,161,AVISO
2025-06-03 14:30:00,MAQ-02,Linea A,69.65,2.35,4.889,83,OK
2025-06-03 14:45:00,MAQ-01,Linea A,68.98,3.419,4.161,85,OK
2025-06-03 15:00:00,MAQ-01,Linea A,66.36,3.973,4.78,98,OK
2025-06-03 15:15:00,MAQ-01,Linea A,62.19,3.13,5.007,91,OK
2025-06-03 15:30:00,MAQ-01,Linea A,62.37,1.999,5.397,115,OK
2025-06-03 15:45:00,MAQ-02,Linea A,73.61,2.667,5.551,161,OK
2025-06-03 16:00:00,MAQ-02,Linea A,73.47,3.045,5.473,131,OK
2025-06-03 16:15:00,MAQ-03,Linea B,72.92,0.632,5.01,151,OK
2025-06-03 16:30:00,MAQ-04,Linea B,74.51,2.414,4.785,115,OK
2025-06-03 16:45:00,MAQ-01,Linea A,69.4,1.753,4.925,86,OK
2025-06-03 17:00:00,MAQ-04,Linea B,70.3,1.145,4.996,107,OK
2025-06-03 17:15:00,MAQ-02,Linea A,77.23,2.804,5.67,80,AVISO
2025-06-03 17:30:00,MAQ-01,Linea A,71.92,2.093,5.502,112,OK
2025-06-03 17:45:00,MAQ-02,Linea A,71.84,4.58,5.916,110,OK
2025-06-03 18:00:00,MAQ-02,Linea A,66.59,2.239,5.612,119,OK
2025-06-03 18:15:00,MAQ-01,Linea A,71.45,4.041,4.815,100,OK
2025-06-03 18:30:00,MAQ-01,Linea A,73.05,4.209,4.72,95,OK
2025-06-03 18:45:00,MAQ-03,Linea B,71.48,1.681,5.427,153,OK
2025-06-03 19:00:00,MAQ-02,Linea A,85.32,1.98,5.091,96,ALARMA
2025-06-03 19:15:00,MAQ-03,Linea B,57.8,2.929,5.982,90,OK
2025-06-03 19:30:00,MAQ-03,Linea B,64.75,2.743,5.298,139,OK
2025-06-03 19:45:00,MAQ-02,Linea A,64.26,1.144,5.605,162,OK
2025-06-03 20:00:00,MAQ-02,Linea A,69.76,2.6,5.368,163,OK
2025-06-03 20:15:00,MAQ-01,Linea A,60.35,2.602,4.8,82,OK
2025-06-03 20:30:00,MAQ-04,Linea B,55.8,3.751,4.957,89,OK
2025-06-03 20:45:00,MAQ-04,Linea B,64.15,2.501,5.328,95,OK
2025-06-03 21:00:00,MAQ-01,Linea A,61.41,2.437,4.222,121,OK
2025-06-03 21:15:00,MAQ-04,Linea B,73.73,1.825,4.606,161,OK
2025-06-03 21:30:00,MAQ-03,Linea B,76.44,1.186,5.844,139,AVISO
2025-06-03 21:45:00,MAQ-03,Linea B,71.32,3.533,5.398,127,OK
2025-06-03 22:00:00,MAQ-02,Linea A,60.79,0.987,4.328,91,OK
2025-06-03 22:15:00,MAQ-01,Linea A,71.96,2.981,5.69,89,OK
2025-06-03 22:30:00,MAQ-04,Linea B,74.97,1.637,3.937,87,OK
2025-06-03 22:45:00,MAQ-02,Linea A,71.44,1.753,5.887,116,OK
2025-06-03 23:00:00,MAQ-01,Linea A,67.66,2.197,5.953,146,OK
2025-06-03 23:15:00,MAQ-03,Linea B,64.69,3.065,5.951,106,OK
2025-06-03 23:30:00,MAQ-04,Linea B,66.56,3.741,5.553,163,OK
2025-06-03 23:45:00,MAQ-02,Linea A,71.11,2.048,5.517,157,OK
2025-06-04 00:00:00,MAQ-01,Linea A,72.69,1.413,4.799,124,OK
2025-06-04 00:15:00,MAQ-03,Linea B,68.0,2.702,5.482,120,OK
2025-06-04 00:30:00,MAQ-02,Linea A,78.74,3.443,4.887,97,AVISO
2025-06-04 00:45:00,MAQ-02,Linea A,57.91,1.999,5.024,163,OK
2025-06-04 01:00:00,MAQ-04,Linea B,58.83,1.785,4.54,101,OK
2025-06-04 01:15:00,MAQ-01,Linea A,57.43,1.802,5.897,96,OK
2025-06-04 01:30:00,MAQ-01,Linea A,56.93,1.86,5.048,122,OK
2025-06-04 01:45:00,MAQ-04,Linea B,69.6,1.127,4.303,134,OK
2025-06-04 02:00:00,MAQ-03,Linea B,66.32,2.004,4.847,83,OK
2025-06-04 02:15:00,MAQ-01,Linea A,64.16,3.674,4.836,92,OK
2025-06-04 02:30:00,MAQ-03,Linea B,57.39,1.194,5.194,85,OK
2025-06-04 02:45:00,MAQ-02,Linea A,87.08,2.777,5.309,149,ALARMA
2025-06-04 03:00:00,MAQ-03,Linea B,66.82,2.162,4.657,90,OK
2025-06-04 03:15:00,MAQ-03,Linea B,66.44,2.664,5.761,141,OK
2025-06-04 03:30:00,MAQ-01,Linea A,65.35,3.424,5.523,84,OK
2025-06-04 03:45:00,MAQ-03,Linea B,65.26,2.337,4.886,92,OK
2025-06-04 04:00:00,MAQ-01,Linea A,78.05,3.698,5.063,139,AVISO
2025-06-04 04:15:00,MAQ-02,Linea A,74.22,2.326,5.407,125,OK
2025-06-04 04:30:00,MAQ-04,Linea B,79.86,3.706,5.411,108,AVISO
2025-06-04 04:45:00,MAQ-02,Linea A,74.8,1.478,5.06,119,OK
2025-06-04 05:00:00,MAQ-03,Linea B,64.29,3.158,5.078,126,OK
2025-06-04 05:15:00,MAQ-03,Linea B,76.6,2.77,4.325,113,AVISO
2025-06-04 05:30:00,MAQ-03,Linea B,77.49,2.932,5.285,128,AVISO
2025-06-04 05:45:00,MAQ-04,Linea B,73.5,1.222,4.359,98,OK
2025-06-04 06:00:00,MAQ-04,Linea B,72.82,3.364,5.617,99,OK
2025-06-04 06:15:00,MAQ-04,Linea B,75.09,2.162,5.045,130,OK
2025-06-04 06:30:00,MAQ-02,Linea A,76.18,2.471,4.929,144,AVISO
2025-06-04 06:45:00,MAQ-04,Linea B,64.81,2.365,6.012,126,OK
2025-06-04 07:00:00,MAQ-04,Linea B,77.57,3.039,4.258,140,AVISO
2025-06-04 07:15:00,MAQ-04,Linea B,73.48,2.768,4.741,100,OK
2025-06-04 07:30:00,MAQ-03,Linea B,69.68,1.825,5.51,86,OK
2025-06-04 07:45:00,MAQ-04,Linea B,67.58,2.309,5.429,136,OK
2025-06-04 08:00:00,MAQ-01,Linea A,58.85,2.16,5.601,143,OK
2025-06-04 08:15:00,MAQ-02,Linea A,72.23,3.012,5.405,97,OK
2025-06-04 08:30:00,MAQ-01,Linea A,64.68,1.971,5.503,90,OK
2025-06-04 08:45:00,MAQ-01,Linea A,68.91,2.171,4.791,121,OK
2025-06-04 09:00:00,MAQ-02,Linea A,59.51,2.405,4.463,123,OK
2025-06-04 09:15:00,MAQ-04,Linea B,69.43,2.427,4.42,142,OK
2025-06-04 09:30:00,MAQ-02,Linea A,65.07,2.913,5.199,115,OK
2025-06-04 09:45:00,MAQ-03,Linea B,50.65,3.025,5.157,124,OK
2025-06-04 10:00:00,MAQ-01,Linea A,66.32,1.705,5.857,98,OK
2025-06-04 10:15:00,MAQ-03,Linea B,67.16,3.273,4.842,115,OK
2025-06-04 10:30:00,MAQ-03,Linea B,73.26,2.904,4.72,100,OK
2025-06-04 10:45:00,MAQ-03,Linea B,71.01,2.258,5.75,110,OK
2025-06-04 11:00:00,MAQ-03,Linea B,72.11,1.088,4.712,141,OK
2025-06-04 11:15:00,MAQ-03,Linea B,65.95,2.587,5.263,87,OK
2025-06-04 11:30:00,MAQ-03,Linea B,62.3,2.27,4.711,143,OK
2025-06-04 11:45:00,MAQ-04,Linea B,67.11,3.9,4.81,125,OK
2025-06-04 12:00:00,MAQ-01,Linea A,105.91,1.19,5.91,120,ALARMA
2025-06-04 12:15:00,MAQ-03,Linea B,70.77,2.423,4.36,139,OK
2025-06-04 12:30:00,MAQ-03,Linea B,67.34,2.568,5.194,141,OK
2025-06-04 12:45:00,MAQ-04,Linea B,65.29,3.388,5.572,129,OK
2025-06-04 13:00:00,MAQ-01,Linea A,75.84,2.299,4.537,110,OK
2025-06-04 13:15:00,MAQ-02,Linea A,79.14,3.381,4.903,99,AVISO
2025-06-04 13:30:00,MAQ-01,Linea A,101.3,2.121,4.987,120,ALARMA
2025-06-04 13:45:00,MAQ-02,Linea A,64.21,2.351,4.711,111,OK
2025-06-04 14:00:00,MAQ-02,Linea A,63.28,3.961,4.787,160,OK
2025-06-04 14:15:00,MAQ-03,Linea B,63.5,1.049,5.929,144,OK
2025-06-04 14:30:00,MAQ-04,Linea B,73.22,2.03,4.829,115,OK
2025-06-04 14:45:00,MAQ-03,Linea B,72.94,0.745,5.265,102,OK
2025-06-04 15:00:00,MAQ-04,Linea B,67.82,2.728,5.06,125,OK
2025-06-04 15:15:00,MAQ-04,Linea B,61.64,3.232,5.421,98,OK
2025-06-04 15:30:00,MAQ-02,Linea A,61.46,3.407,5.11,84,OK
2025-06-04 15:45:00,MAQ-02,Linea A,93.83,2.034,4.436,125,ALARMA
2025-06-04 16:00:00,MAQ-03,Linea B,73.1,1.417,5.229,152,OK
2025-06-04 16:15:00,MAQ-02,Linea A,66.8,2.054,5.336,140,OK
2025-06-04 16:30:00,MAQ-04,Linea B,68.83,1.278,4.508,154,OK
2025-06-04 16:45:00,MAQ-02,Linea A,78.25,2.055,4.992,127,AVISO
2025-06-04 17:00:00,MAQ-02,Linea A,64.45,3.587,5.801,154,OK
2025-06-04 17:15:00,MAQ-02,Linea A,79.91,1.912,5.859,81,AVISO
2025-06-04 17:30:00,MAQ-04,Linea B,76.59,2.194,5.204,141,AVISO
2025-06-04 17:45:00,MAQ-02,Linea A,69.59,2.365,4.975,122,OK
2025-06-04 18:00:00,MAQ-03,Linea B,81.87,3.054,5.896,94,AVISO
2025-06-04 18:15:00,MAQ-02,Linea A,56.3,2.183,4.378,128,OK
2025-06-04 18:30:00,MAQ-02,Linea A,69.32,2.737,4.201,161,OK
2025-06-04 18:45:00,MAQ-03,Linea B,70.24,2.504,5.285,112,OK
2025-06-04 19:00:00,MAQ-01,Linea A,71.16,2.442,,132,OK
2025-06-04 19:15:00,MAQ-04,Linea B,68.62,3.63,5.323,136,OK
2025-06-04 19:30:00,MAQ-04,Linea B,63.08,3.618,5.439,90,OK
2025-06-04 19:45:00,MAQ-03,Linea B,97.32,2.025,5.492,107,ALARMA
2025-06-04 20:00:00,MAQ-04,Linea B,94.04,1.861,4.83,131,ALARMA
2025-06-04 20:15:00,MAQ-03,Linea B,78.82,1.879,6.078,85,AVISO
2025-06-04 20:30:00,MAQ-02,Linea A,72.55,1.106,5.048,142,OK
2025-06-04 20:45:00,MAQ-02,Linea A,65.91,2.602,4.319,120,OK
2025-06-04 21:00:00,MAQ-03,Linea B,52.7,1.116,5.585,105,OK
2025-06-04 21:15:00,MAQ-01,Linea A,68.26,2.352,5.257,118,OK
2025-06-04 21:30:00,MAQ-02,Linea A,70.05,2.358,4.608,147,OK
2025-06-04 21:45:00,MAQ-03,Linea B,61.64,2.153,5.569,136,OK
2025-06-04 22:00:00,MAQ-01,Linea A,69.8,1.961,5.729,113,OK
2025-06-04 22:15:00,MAQ-01,Linea A,63.29,2.634,4.81,136,OK
2025-06-04 22:30:00,MAQ-02,Linea A,70.62,2.407,5.129,129,OK
2025-06-04 22:45:00,MAQ-01,Linea A,63.42,2.782,4.427,82,OK
2025-06-04 23:00:00,MAQ-01,Linea A,77.95,2.722,5.022,82,AVISO
2025-06-04 23:15:00,MAQ-01,Linea A,68.46,3.242,5.097,84,OK
2025-06-04 23:30:00,MAQ-03,Linea B,73.49,2.095,5.508,98,OK
2025-06-04 23:45:00,MAQ-04,Linea B,64.29,2.477,5.301,132,OK
2025-06-05 00:00:00,MAQ-04,Linea B,66.09,1.151,5.177,95,OK
2025-06-05 00:15:00,MAQ-01,Linea A,73.02,2.998,5.189,145,OK
2025-06-05 00:30:00,MAQ-02,Linea A,64.47,1.847,4.762,118,OK
2025-06-05 00:45:00,MAQ-02,Linea A,67.48,2.276,5.778,132,OK
2025-06-05 01:00:00,MAQ-04,Linea B,64.04,2.421,5.546,117,OK
2025-06-05 01:15:00,MAQ-04,Linea B,58.24,4.262,4.204,162,OK
2025-06-05 01:30:00,MAQ-03,Linea B,70.38,2.314,5.42,108,OK
2025-06-05 01:45:00,MAQ-04,Linea B,73.01,2.559,5.219,95,OK
2025-06-05 02:00:00,MAQ-04,Linea B,65.59,1.703,4.49,95,OK
2025-06-05 02:15:00,MAQ-02,Linea A,81.61,2.523,5.768,126,AVISO
2025-06-05 02:30:00,MAQ-04,Linea B,70.27,1.874,5.843,113,OK
2025-06-05 02:45:00,MAQ-04,Linea B,68.18,2.062,4.615,111,OK
2025-06-05 03:00:00,MAQ-02,Linea A,58.42,1.95,4.161,92,OK
2025-06-05 03:15:00,MAQ-04,Linea B,61.36,1.664,6.02,162,OK
2025-06-05 03:30:00,MAQ-01,Linea A,71.26,2.945,4.958,157,OK
2025-06-05 03:45:00,MAQ-01,Linea A,92.65,3.518,5.365,137,ALARMA
2025-06-05 04:00:00,MAQ-04,Linea B,70.38,0.744,4.509,99,OK
2025-06-05 04:15:00,MAQ-03,Linea B,60.8,2.878,5.696,127,OK
2025-06-05 04:30:00,MAQ-01,Linea A,54.59,1.918,5.638,133,OK
2025-06-05 04:45:00,MAQ-01,Linea A,66.34,2.601,4.989,90,OK
2025-06-05 05:00:00,MAQ-02,Linea A,78.34,2.311,5.74,140,AVISO
2025-06-05 05:15:00,MAQ-02,Linea A,72.03,3.008,4.961,87,OK
2025-06-05 05:30:00,MAQ-03,Linea B,70.23,2.815,4.898,139,OK
2025-06-05 05:45:00,MAQ-02,Linea A,73.08,2.343,5.165,141,OK
2025-06-05 06:00:00,MAQ-02,Linea A,68.52,2.59,5.215,106,OK
2025-06-05 06:15:00,MAQ-03,Linea B,55.81,3.285,5.475,102,OK
2025-06-05 06:30:00,MAQ-01,Linea A,71.77,2.969,5.197,151,OK
2025-06-05 06:45:00,MAQ-03,Linea B,67.18,2.743,5.015,137,OK
2025-06-05 07:00:00,MAQ-02,Linea A,53.29,1.219,5.03,158,OK
2025-06-05 07:15:00,MAQ-02,Linea A,73.19,2.529,5.999,106,OK
2025-06-05 07:30:00,MAQ-01,Linea A,52.61,2.248,5.244,104,OK
2025-06-05 07:45:00,MAQ-02,Linea A,70.67,2.961,5.061,159,OK
2025-06-05 08:00:00,MAQ-04,Linea B,65.5,2.216,4.554,164,OK
2025-06-05 08:15:00,MAQ-02,Linea A,64.57,2.195,4.621,161,OK
2025-06-05 08:30:00,MAQ-03,Linea B,64.22,1.198,5.666,99,OK
2025-06-05 08:45:00,MAQ-02,Linea A,69.92,3.392,5.738,155,OK
2025-06-05 09:00:00,MAQ-04,Linea B,71.72,2.249,5.111,144,OK
2025-06-05 09:15:00,MAQ-02,Linea A,80.14,2.252,5.313,80,AVISO
2025-06-05 09:30:00,MAQ-02,Linea A,74.55,2.174,5.313,133,OK
2025-06-05 09:45:00,MAQ-04,Linea B,76.42,2.594,4.939,83,AVISO
2025-06-05 10:00:00,MAQ-01,Linea A,60.7,2.276,5.466,97,OK
2025-06-05 10:15:00,MAQ-03,Linea B,66.01,2.44,5.459,109,OK
2025-06-05 10:30:00,MAQ-02,Linea A,67.93,2.886,6.047,108,OK
2025-06-05 10:45:00,MAQ-04,Linea B,65.31,1.526,5.222,157,OK
2025-06-05 11:00:00,MAQ-01,Linea A,88.79,2.915,5.394,99,ALARMA
2025-06-05 11:15:00,MAQ-02,Linea A,77.62,2.25,5.871,126,AVISO
2025-06-05 11:30:00,MAQ-04,Linea B,73.53,1.625,5.114,121,OK
2025-06-05 11:45:00,MAQ-02,Linea A,76.5,2.612,5.715,94,AVISO
2025-06-05 12:00:00,MAQ-04,Linea B,88.45,1.573,4.671,98,ALARMA
2025-06-05 12:15:00,MAQ-02,Linea A,64.8,1.719,5.545,111,OK
2025-06-05 12:30:00,MAQ-02,Linea A,69.83,2.993,5.321,99,OK
2025-06-05 12:45:00,MAQ-02,Linea A,73.72,3.375,5.809,94,OK
2025-06-05 13:00:00,MAQ-02,Linea A,67.98,1.947,4.484,157,OK
2025-06-05 13:15:00,MAQ-04,Linea B,81.24,2.158,5.135,128,AVISO
2025-06-05 13:30:00,MAQ-01,Linea A,78.14,2.645,5.284,87,AVISO
2025-06-05 13:45:00,MAQ-03,Linea B,70.28,2.165,6.06,127,OK
2025-06-05 14:00:00,MAQ-01,Linea A,70.11,2.792,5.344,127,OK
2025-06-05 14:15:00,MAQ-02,Linea A,76.76,1.97,5.26,104,AVISO
2025-06-05 14:30:00,MAQ-03,Linea B,74.26,1.932,4.416,137,OK
2025-06-05 14:45:00,MAQ-02,Linea A,76.11,2.06,5.73,96,AVISO
2025-06-05 15:00:00,MAQ-04,Linea B,56.83,3.517,4.884,146,OK
2025-06-05 15:15:00,MAQ-03,Linea B,53.57,2.715,5.091,125,OK
2025-06-05 15:30:00,MAQ-02,Linea A,67.61,2.821,5.751,154,OK
