id_pedido,fecha,region,categoria,producto,unidades,precio_unitario,descuento_pct,canal,satisfaccion
PED-10033,2025-01-19,Este,Hogar,Lampara LED,2,27.5,0,Online,1.0
PED-10353,2025-01-19,Este,Deporte,Zapatilla Trail,5,119.0,10,Tienda,2.0
PED-10273,2025-01-20,Oeste,Oficina,Silla Ergonomica,5,239.0,0,Online,4.0
PED-10060,2025-01-20,Este,Deporte,Zapatilla Trail,7,119.0,0,Online,3.0
PED-10370,2025-01-20,Norte,Hogar,Cafetera Expres,3,189.0,0,Online,4.0
PED-10091,2025-01-20,Este,Deporte,Esterilla Yoga,8,32.0,10,Tienda,4.0
PED-10284,2025-01-21,Oeste,Electronica,Auriculares BT,7,59.9,0,Tienda,2.0
PED-10080,2025-01-22,Norte,Oficina,Teclado Mecanico,5,89.9,0,Online,1.0
PED-10014,2025-01-22,Oeste,Hogar,Lampara LED,3,27.5,0,Online,3.0
PED-10011,2025-01-22,Sur,Deporte,Mochila 30L,2,64.0,0,Online,2.0
PED-10334,2025-01-23,Norte,Electronica,Cargador USB-C,7,18.5,15,Marketplace,3.0
PED-10326,2025-01-24,Oeste,Deporte,Mochila 30L,5,64.0,0,Online,3.0
PED-10269,2025-01-24,Este,Electronica,Smartwatch S2,4,149.0,0,Tienda,4.0
PED-10099,2025-01-24,Centro,Electronica,Auriculares BT,5,59.9,10,Marketplace,5.0
PED-10198,2025-01-25,Oeste,Electronica,Cargador USB-C,8,18.5,0,Online,5.0
PED-10093,2025-01-25,Centro,Oficina,"Monitor 27""",1,199.0,5,Online,5.0
PED-10339,2025-01-26,Sur,Oficina,Teclado Mecanico,3,89.9,10,Online,1.0
PED-10003,2025-01-26,Este,Hogar,Robot Aspirador,5,279.0,0,Online,2.0
PED-10395,2025-01-27,Sur,Deporte,Bidon 750ml,2,14.9,20,Online,
PED-10373,2025-01-27,Oeste,Oficina,Organizador,8,21.0,5,Tienda,5.0
PED-10178,2025-01-28,Oeste,Deporte,Bidon 750ml,1,14.9,20,Tienda,1.0
PED-10026,2025-01-29,Sur,Electronica,"Tablet 10""",7,219.0,5,Tienda,2.0
PED-10345,2025-01-29,Centro,Oficina,Teclado Mecanico,4,89.9,0,Tienda,3.0
PED-10115,2025-01-30,Centro,Hogar,Juego Sabanas,8,44.9,0,Online,4.0
PED-10364,2025-02-02,Norte,Deporte,Mochila 30L,8,64.0,20,Online,1.0
PED-10097,2025-02-03,Oeste,Electronica,Smartwatch S2,6,149.0,10,Online,2.0
PED-10248,2025-02-04,Sur,Electronica,Cargador USB-C,6,18.5,0,Online,2.0
PED-10135,2025-02-04,Centro,Hogar,Juego Sabanas,2,44.9,0,Tienda,1.0
PED-10222,2025-02-05,Norte,Oficina,Teclado Mecanico,5,89.9,0,Marketplace,2.0
PED-10041,2025-02-05,Centro,Oficina,Teclado Mecanico,5,89.9,0,Online,1.0
PED-10262,2025-02-05,Sur,Electronica,Smartwatch S2,2,149.0,15,Tienda,1.0
PED-10184,2025-02-05,Oeste,Deporte,Mochila 30L,2,64.0,0,Marketplace,4.0
PED-10360,2025-02-06,Este,Deporte,Bidon 750ml,7,14.9,0,Tienda,5.0
PED-10174,2025-02-06,Este,Deporte,Zapatilla Trail,1,119.0,20,Online,5.0
PED-10282,2025-02-06,Norte,Electronica,Cargador USB-C,5,18.5,0,Online,3.0
PED-10240,2025-02-07,Sur,Electronica,Smartwatch S2,8,149.0,5,Online,4.0
PED-10294,2025-02-08,Centro,Oficina,Organizador,2,21.0,0,Tienda,1.0
PED-10012,2025-02-08,Oeste,Hogar,Lampara LED,8,27.5,10,Tienda,
PED-10261,2025-02-08,Centro,Electronica,Auriculares BT,2,59.9,20,Online,2.0
PED-10160,2025-02-09,Norte,Electronica,Cargador USB-C,2,18.5,5,Tienda,1.0
PED-10280,2025-02-10,Este,Oficina,"Monitor 27""",4,199.0,20,Tienda,1.0
PED-10059,2025-02-11,Este,Deporte,Mochila 30L,5,64.0,15,Online,3.0
PED-10286,2025-02-12,Oeste,Oficina,Silla Ergonomica,6,239.0,0,Online,5.0
PED-10147,2025-02-14,Sur,Electronica,Cargador USB-C,5,18.5,15,Online,4.0
PED-10015,2025-02-15,Centro,Hogar,Robot Aspirador,2,279.0,0,Tienda,4.0
PED-10020,2025-02-16,Centro,Oficina,Organizador,2,21.0,0,Tienda,1.0
PED-10368,2025-02-18,Norte,Hogar,Cafetera Expres,4,189.0,0,Online,3.0
PED-10376,2025-02-19,Oeste,Hogar,Cafetera Expres,7,189.0,0,Marketplace,4.0
PED-10332,2025-02-19,Norte,Electronica,Cargador USB-C,8,18.5,20,Marketplace,5.0
PED-10016,2025-02-19,Centro,Hogar,Juego Sabanas,6,44.9,10,Online,3.0
PED-10101,2025-02-19,Sur,Hogar,Lampara LED,5,27.5,0,Online,2.0
PED-10084,2025-02-20,Norte,Hogar,Juego Sabanas,4,44.9,15,Tienda,1.0
PED-10169,2025-02-21,Este,Electronica,Smartwatch S2,2,149.0,0,Tienda,4.0
PED-10399,2025-02-21,Este,Oficina,Teclado Mecanico,3,89.9,0,Online,1.0
PED-10243,2025-02-21,Sur,Hogar,Juego Sabanas,7,44.9,10,Online,5.0
PED-10400,2025-02-22,Sur,Hogar,Robot Aspirador,2,279.0,0,Online,2.0
PED-10171,2025-02-22,Este,Oficina,"Monitor 27""",7,199.0,10,Tienda,2.0
PED-10355,2025-02-23,Centro,Oficina,"Monitor 27""",6,199.0,0,Online,1.0
PED-10079,2025-02-23,Este,Hogar,Lampara LED,5,27.5,0,Online,4.0
PED-10398,2025-02-23,Sur,Electronica,Cargador USB-C,3,18.5,5,Marketplace,5.0
PED-10188,2025-02-23,Este,Electronica,"Tablet 10""",4,219.0,0,Online,4.0
PED-10256,2025-02-25,Centro,Deporte,Mochila 30L,8,64.0,0,Marketplace,4.0
PED-10085,2025-02-25,Centro,Deporte,Esterilla Yoga,5,32.0,0,Online,2.0
PED-10031,2025-02-25,Centro,Oficina,Organizador,6,21.0,15,Online,1.0
PED-10118,2025-02-25,Centro,Deporte,Esterilla Yoga,1,32.0,10,Tienda,2.0
PED-10042,2025-02-26,Norte,Electronica,Auriculares BT,1,59.9,15,Online,3.0
PED-10206,2025-02-26,Norte,Oficina,Teclado Mecanico,5,89.9,0,Online,1.0
PED-10202,2025-02-27,Este,Electronica,Smartwatch S2,2,149.0,20,Online,1.0
PED-10307,2025-02-27,Centro,Electronica,"Tablet 10""",2,219.0,10,Tienda,4.0
PED-10050,2025-02-28,Oeste,Deporte,Esterilla Yoga,7,32.0,0,Tienda,2.0
PED-10418,2025-02-28,Norte,Hogar,Lampara LED,5,27.5,15,Online,5.0
PED-10375,2025-02-28,Sur,Oficina,Organizador,8,21.0,0,Tienda,2.0
PED-10201,2025-02-28,Este,Electronica,Cargador USB-C,3,18.5,20,Tienda,5.0
PED-10004,2025-02-28,Norte,Electronica,"Tablet 10""",8,219.0,15,Marketplace,1.0
PED-10182,2025-03-01,Norte,Deporte,Zapatilla Trail,3,119.0,10,Online,1.0
PED-10328,2025-03-01,Norte,Electronica,Smartwatch S2,7,149.0,10,Tienda,5.0
PED-10250,2025-03-01,Norte,Oficina,Teclado Mecanico,6,89.9,10,Online,3.0
PED-10239,2025-03-02,Sur,Oficina,Teclado Mecanico,2,89.9,15,Online,1.0
PED-10288,2025-03-02,Centro,Electronica,Auriculares BT,4,59.9,0,Marketplace,5.0
PED-10403,2025-03-03,Este,Electronica,"Tablet 10""",5,219.0,15,Online,5.0
PED-10306,2025-03-03,Norte,Oficina,Organizador,1,21.0,0,Online,5.0
PED-10098,2025-03-04,Oeste,Hogar,Cafetera Expres,2,189.0,5,Online,5.0
PED-10278,2025-03-04,Norte,Hogar,Cafetera Expres,4,189.0,15,Tienda,2.0
PED-10140,2025-03-07,Centro,Deporte,Mochila 30L,2,64.0,0,Online,1.0
PED-10228,2025-03-07,Centro,Hogar,Robot Aspirador,2,279.0,0,Tienda,5.0
PED-10001,2025-03-07,Norte,Hogar,Cafetera Expres,2,189.0,5,Online,2.0
PED-10077,2025-03-07,Norte,Electronica,Auriculares BT,8,59.9,0,Tienda,2.0
PED-10082,2025-03-08,Sur,Hogar,Robot Aspirador,8,279.0,0,Tienda,2.0
PED-10218,2025-03-09,Este,Hogar,Juego Sabanas,1,44.9,0,Online,5.0
PED-10323,2025-03-10,Oeste,Hogar,Juego Sabanas,5,44.9,0,Online,4.0
PED-10110,2025-03-10,Este,Hogar,Cafetera Expres,3,189.0,0,Marketplace,1.0
PED-10270,2025-03-12,Sur,Hogar,Lampara LED,6,27.5,0,Online,5.0
PED-10170,2025-03-13,Este,Deporte,Bidon 750ml,6,14.9,0,Online,5.0
PED-10064,2025-03-14,Centro,Electronica,"Tablet 10""",3,219.0,20,Marketplace,1.0
PED-10213,2025-03-14,Norte,Electronica,Smartwatch S2,3,149.0,20,Online,2.0
PED-10019,2025-03-14,Norte,Deporte,Esterilla Yoga,2,32.0,20,Tienda,1.0
PED-10058,2025-03-15,Norte,Hogar,Robot Aspirador,8,279.0,0,Tienda,5.0
PED-10301,2025-03-15,Norte,Oficina,Organizador,4,21.0,20,Online,5.0
PED-10056,2025-03-15,Sur,Deporte,Zapatilla Trail,1,119.0,5,Tienda,4.0
PED-10052,2025-03-16,Norte,Deporte,Zapatilla Trail,5,119.0,5,Marketplace,5.0
PED-10412,2025-03-17,Centro,Oficina,Silla Ergonomica,7,239.0,20,Tienda,2.0
PED-10303,2025-03-17,Oeste,Deporte,Esterilla Yoga,6,32.0,0,Tienda,2.0
PED-10046,2025-03-17,Oeste,Electronica,Auriculares BT,1,59.9,5,Tienda,2.0
PED-10108,2025-03-17,Sur,Hogar,Robot Aspirador,8,279.0,10,Tienda,3.0
PED-10180,2025-03-18,Centro,Electronica,Cargador USB-C,3,18.5,0,Tienda,4.0
PED-10192,2025-03-18,Este,Oficina,"Monitor 27""",1,199.0,0,Tienda,1.0
PED-10208,2025-03-19,Centro,Deporte,Esterilla Yoga,7,32.0,0,Tienda,3.0
PED-10380,2025-03-19,Norte,Electronica,"Tablet 10""",4,219.0,5,Tienda,5.0
PED-10068,2025-03-20,Este,Electronica,"Tablet 10""",3,219.0,15,Tienda,1.0
PED-10173,2025-03-21,Centro,Deporte,Bidon 750ml,5,14.9,0,Online,1.0
PED-10165,2025-03-21,Centro,Oficina,Silla Ergonomica,2,239.0,15,Online,3.0
PED-10359,2025-03-23,Oeste,Hogar,Lampara LED,7,27.5,5,Online,1.0
PED-10006,2025-03-26,Centro,Deporte,Bidon 750ml,3,14.9,5,Online,2.0
PED-10281,2025-03-26,Sur,Deporte,Esterilla Yoga,3,32.0,0,Tienda,5.0
PED-10419,2025-03-26,Este,Electronica,Smartwatch S2,4,149.0,15,Tienda,4.0
PED-10313,2025-03-26,Centro,Deporte,Esterilla Yoga,1,32.0,15,Tienda,3.0
PED-10267,2025-03-27,Centro,Deporte,Zapatilla Trail,4,119.0,10,Marketplace,2.0
PED-10302,2025-03-27,Centro,Hogar,Lampara LED,2,27.5,10,Online,1.0
PED-10363,2025-03-28,Sur,Deporte,Bidon 750ml,6,14.9,5,Marketplace,3.0
PED-10081,2025-03-28,Centro,Oficina,Organizador,7,21.0,0,Online,2.0
PED-10259,2025-03-28,Norte,Deporte,Bidon 750ml,8,14.9,0,Marketplace,5.0
PED-10005,2025-03-28,Centro,Deporte,Zapatilla Trail,2,119.0,20,Marketplace,5.0
PED-10146,2025-03-29,Norte,Electronica,Smartwatch S2,6,149.0,0,Online,4.0
PED-10040,2025-03-30,Norte,Electronica,"Tablet 10""",7,219.0,0,Online,2.0
PED-10132,2025-03-31,Sur,Oficina,Organizador,4,21.0,0,Tienda,3.0
PED-10358,2025-04-01,Este,Hogar,Cafetera Expres,8,189.0,0,Online,3.0
PED-10114,2025-04-02,Oeste,Electronica,Auriculares BT,7,59.9,15,Online,4.0
PED-10104,2025-04-02,Sur,Hogar,Lampara LED,3,27.5,0,Online,3.0
PED-10177,2025-04-02,Sur,Electronica,Cargador USB-C,1,18.5,10,,4.0
PED-10131,2025-04-04,Sur,Deporte,Bidon 750ml,7,14.9,0,Online,5.0
PED-10106,2025-04-04,Centro,Hogar,Lampara LED,4,27.5,20,Tienda,1.0
PED-10039,2025-04-05,Norte,Hogar,Lampara LED,4,27.5,0,Online,5.0
PED-10094,2025-04-06,Este,Hogar,Robot Aspirador,2,279.0,0,Online,5.0
PED-10247,2025-04-07,Norte,Electronica,Auriculares BT,3,59.9,5,Marketplace,3.0
PED-10304,2025-04-08,Norte,Electronica,Cargador USB-C,1,18.5,0,Tienda,2.0
PED-10018,2025-04-09,Norte,Deporte,Zapatilla Trail,8,119.0,10,Online,1.0
PED-10265,2025-04-09,Norte,Oficina,"Monitor 27""",4,199.0,10,Online,4.0
PED-10155,2025-04-10,Norte,Electronica,Smartwatch S2,8,149.0,20,Tienda,1.0
PED-10071,2025-04-10,Norte,Hogar,Juego Sabanas,1,44.9,0,Online,1.0
PED-10051,2025-04-11,Sur,Electronica,Auriculares BT,8,59.9,10,,4.0
PED-10069,2025-04-12,Oeste,Hogar,Juego Sabanas,8,44.9,15,Marketplace,4.0
PED-10391,2025-04-12,Sur,Deporte,Bidon 750ml,8,14.9,5,Online,1.0
PED-10090,2025-04-12,Este,Oficina,Silla Ergonomica,3,239.0,20,Marketplace,1.0
PED-10241,2025-04-12,Norte,Electronica,Auriculares BT,7,59.9,0,Online,1.0
PED-10272,2025-04-12,Centro,Electronica,Smartwatch S2,4,149.0,20,Online,1.0
PED-10384,2025-04-13,Oeste,Oficina,Silla Ergonomica,7,239.0,0,Tienda,1.0
PED-10263,2025-04-14,Centro,Deporte,Bidon 750ml,1,14.9,0,Online,2.0
PED-10204,2025-04-14,Centro,Electronica,Cargador USB-C,6,18.5,0,Tienda,2.0
PED-10164,2025-04-14,Este,Hogar,Juego Sabanas,2,44.9,15,Online,1.0
PED-10229,2025-04-14,Norte,Hogar,Robot Aspirador,2,279.0,0,Online,2.0
PED-10181,2025-04-15,Centro,Hogar,Robot Aspirador,8,279.0,5,Tienda,1.0
PED-10224,2025-04-15,Sur,Deporte,Zapatilla Trail,8,119.0,20,Tienda,3.0
PED-10065,2025-04-16,Sur,Oficina,"Monitor 27""",1,199.0,0,Tienda,2.0
PED-10260,2025-04-17,Sur,Hogar,Cafetera Expres,2,189.0,10,Online,5.0
PED-10336,2025-04-17,Este,Hogar,Cafetera Expres,3,189.0,15,Online,
PED-10413,2025-04-20,Este,Hogar,Juego Sabanas,8,44.9,20,Online,4.0
PED-10179,2025-04-21,Norte,Hogar,Cafetera Expres,5,189.0,0,Tienda,4.0
PED-10126,2025-04-21,Norte,Oficina,Organizador,5,21.0,10,Online,3.0
PED-10255,2025-04-21,Sur,Oficina,Silla Ergonomica,5,239.0,20,Tienda,5.0
PED-10166,2025-04-22,Oeste,Hogar,Juego Sabanas,4,44.9,5,Tienda,3.0
PED-10148,2025-04-22,Oeste,Electronica,Smartwatch S2,5,149.0,0,Marketplace,1.0
PED-10124,2025-04-25,Oeste,Electronica,Auriculares BT,1,59.9,0,Online,4.0
PED-10258,2025-04-26,Oeste,Oficina,Organizador,1,21.0,10,Tienda,2.0
PED-10221,2025-04-26,Oeste,Hogar,Cafetera Expres,7,189.0,15,Online,1.0
PED-10116,2025-04-27,Norte,Electronica,Cargador USB-C,5,18.5,15,Tienda,5.0
PED-10401,2025-04-28,Centro,Oficina,"Monitor 27""",5,199.0,20,Marketplace,3.0
PED-10172,2025-04-30,Oeste,Deporte,Bidon 750ml,7,14.9,5,Marketplace,1.0
PED-10207,2025-04-30,Sur,Hogar,Juego Sabanas,8,44.9,0,Marketplace,2.0
PED-10044,2025-05-01,Oeste,Electronica,Cargador USB-C,1,18.5,15,Marketplace,3.0
PED-10055,2025-05-01,Sur,Hogar,Robot Aspirador,6,279.0,5,Online,5.0
PED-10219,2025-05-02,Centro,Deporte,Bidon 750ml,3,14.9,0,Marketplace,3.0
PED-10371,2025-05-03,Norte,Oficina,Silla Ergonomica,7,239.0,0,Marketplace,3.0
PED-10151,2025-05-04,Este,Deporte,Esterilla Yoga,4,32.0,5,Tienda,4.0
PED-10156,2025-05-05,Norte,Oficina,Organizador,5,21.0,20,Marketplace,1.0
PED-10021,2025-05-06,Norte,Electronica,Smartwatch S2,3,149.0,10,Tienda,3.0
PED-10095,2025-05-06,Centro,Oficina,Organizador,1,21.0,10,Marketplace,1.0
PED-10289,2025-05-07,Oeste,Electronica,Cargador USB-C,6,18.5,0,Online,3.0
PED-10032,2025-05-07,Centro,Oficina,Teclado Mecanico,4,89.9,0,Online,3.0
PED-10074,2025-05-08,Sur,Electronica,Auriculares BT,7,59.9,5,Online,4.0
PED-10062,2025-05-08,Oeste,Hogar,Robot Aspirador,7,279.0,0,Online,2.0
PED-10349,2025-05-08,Este,Electronica,Cargador USB-C,2,18.5,0,Tienda,1.0
PED-10411,2025-05-08,Sur,Oficina,Teclado Mecanico,3,89.9,5,Online,4.0
PED-10233,2025-05-09,Norte,Oficina,"Monitor 27""",5,199.0,15,Online,2.0
PED-10329,2025-05-11,Norte,Hogar,Robot Aspirador,7,279.0,0,Tienda,5.0
PED-10337,2025-05-12,Norte,Hogar,Cafetera Expres,2,189.0,0,Online,4.0
PED-10365,2025-05-13,Centro,Hogar,Cafetera Expres,6,189.0,15,Marketplace,2.0
PED-10394,2025-05-13,Centro,Hogar,Cafetera Expres,7,189.0,0,Tienda,5.0
PED-10220,2025-05-13,Sur,Electronica,"Tablet 10""",6,219.0,0,Marketplace,1.0
PED-10075,2025-05-13,Centro,Deporte,Mochila 30L,1,64.0,5,Tienda,3.0
PED-10072,2025-05-14,Este,Hogar,Juego Sabanas,7,44.9,0,Marketplace,3.0
PED-10027,2025-05-14,Centro,Electronica,Cargador USB-C,4,18.5,0,Online,5.0
PED-10073,2025-05-14,Oeste,Electronica,Auriculares BT,5,59.9,10,Tienda,4.0
PED-10356,2025-05-14,Sur,Electronica,"Tablet 10""",3,219.0,0,Online,2.0
PED-10211,2025-05-14,Oeste,Oficina,Organizador,2,21.0,15,Marketplace,5.0
PED-10121,2025-05-16,Este,Electronica,Cargador USB-C,3,18.5,5,Marketplace,2.0
PED-10120,2025-05-18,Norte,Electronica,Cargador USB-C,1,18.5,0,Tienda,5.0
PED-10212,2025-05-18,Oeste,Oficina,Teclado Mecanico,8,89.9,0,Marketplace,
PED-10316,2025-05-20,Centro,Oficina,Teclado Mecanico,4,89.9,0,Tienda,3.0
PED-10238,2025-05-20,Norte,Deporte,Bidon 750ml,4,14.9,0,Tienda,5.0
PED-10374,2025-05-21,Centro,Oficina,Organizador,4,21.0,20,Online,1.0
PED-10037,2025-05-21,Norte,Electronica,"Tablet 10""",6,219.0,10,Online,2.0
PED-10134,2025-05-22,Oeste,Electronica,Cargador USB-C,5,18.5,0,Tienda,3.0
PED-10205,2025-05-22,Norte,Oficina,"Monitor 27""",6,199.0,0,Marketplace,5.0
PED-10291,2025-05-24,Centro,Hogar,Lampara LED,2,27.5,0,Online,3.0
PED-10285,2025-05-26,Norte,Electronica,Cargador USB-C,3,18.5,0,Online,3.0
PED-10342,2025-05-26,Este,Electronica,Cargador USB-C,1,18.5,10,Online,5.0
PED-10209,2025-05-26,Norte,Electronica,"Tablet 10""",2,219.0,10,Marketplace,5.0
PED-10187,2025-05-28,Este,Electronica,Auriculares BT,3,59.9,10,Online,2.0
PED-10203,2025-05-28,Oeste,Oficina,Silla Ergonomica,4,239.0,15,Tienda,1.0
PED-10103,2025-05-28,Sur,Electronica,Cargador USB-C,3,18.5,15,Online,5.0
PED-10129,2025-05-30,Norte,Oficina,"Monitor 27""",3,199.0,0,Online,3.0
PED-10186,2025-05-30,Norte,Electronica,Auriculares BT,1,59.9,10,Online,1.0
PED-10125,2025-05-31,Sur,Deporte,Mochila 30L,2,64.0,15,Online,4.0
PED-10088,2025-06-01,Norte,Deporte,Mochila 30L,8,64.0,0,Tienda,3.0
PED-10163,2025-06-01,Sur,Electronica,Auriculares BT,1,59.9,5,Tienda,3.0
PED-10199,2025-06-02,Este,Deporte,Zapatilla Trail,8,119.0,15,Online,4.0
PED-10123,2025-06-02,Oeste,Oficina,Silla Ergonomica,8,239.0,10,Marketplace,3.0
PED-10308,2025-06-03,Sur,Electronica,Cargador USB-C,8,18.5,0,Tienda,3.0
PED-10274,2025-06-03,Este,Deporte,Esterilla Yoga,7,32.0,5,Marketplace,3.0
PED-10254,2025-06-03,Este,Hogar,Juego Sabanas,8,44.9,15,Online,1.0
PED-10168,2025-06-04,Centro,Hogar,Lampara LED,8,27.5,0,Online,3.0
PED-10028,2025-06-04,Sur,Deporte,Mochila 30L,8,64.0,10,Marketplace,3.0
PED-10196,2025-06-04,Centro,Oficina,Silla Ergonomica,3,239.0,5,Online,1.0
PED-10111,2025-06-05,Este,Oficina,Organizador,1,21.0,0,Tienda,5.0
PED-10112,2025-06-05,Norte,Electronica,Smartwatch S2,2,149.0,5,Online,2.0
PED-10408,2025-06-06,Norte,Electronica,Cargador USB-C,2,18.5,5,Tienda,3.0
PED-10122,2025-06-09,Sur,Electronica,Cargador USB-C,7,18.5,5,Tienda,4.0
PED-10271,2025-06-09,Sur,Oficina,Silla Ergonomica,2,239.0,20,Online,4.0
PED-10022,2025-06-10,Centro,Electronica,Smartwatch S2,4,149.0,10,Online,4.0
PED-10158,2025-06-10,Centro,Deporte,Zapatilla Trail,3,119.0,0,Online,3.0
PED-10264,2025-06-11,Centro,Electronica,Cargador USB-C,2,18.5,10,Marketplace,2.0
PED-10340,2025-06-12,Norte,Hogar,Lampara LED,8,27.5,15,Tienda,1.0
PED-10038,2025-06-12,Centro,Oficina,Silla Ergonomica,1,239.0,5,Online,1.0
PED-10136,2025-06-13,Oeste,Deporte,Esterilla Yoga,5,32.0,10,Online,1.0
PED-10352,2025-06-14,Norte,Deporte,Esterilla Yoga,7,32.0,5,Online,5.0
PED-10143,2025-06-14,Norte,Electronica,Smartwatch S2,1,149.0,15,Tienda,2.0
PED-10217,2025-06-14,Oeste,Electronica,Cargador USB-C,4,18.5,0,Online,2.0
PED-10357,2025-06-15,Norte,Oficina,"Monitor 27""",4,199.0,0,Online,2.0
PED-10117,2025-06-15,Oeste,Hogar,Lampara LED,6,27.5,0,Online,2.0
PED-10210,2025-06-17,Este,Hogar,Lampara LED,3,27.5,20,Online,2.0
PED-10232,2025-06-17,Este,Hogar,Robot Aspirador,3,279.0,0,Online,1.0
PED-10024,2025-06-18,Sur,Oficina,Organizador,8,21.0,5,Online,3.0
PED-10067,2025-06-18,Este,Deporte,Mochila 30L,5,64.0,20,Online,1.0
PED-10200,2025-06-19,Este,Electronica,Smartwatch S2,7,149.0,0,Tienda,5.0
PED-10322,2025-06-21,Sur,Oficina,"Monitor 27""",6,199.0,0,Online,1.0
PED-10333,2025-06-21,Centro,Hogar,Cafetera Expres,2,189.0,0,Online,4.0
PED-10234,2025-06-23,Oeste,Oficina,Silla Ergonomica,6,239.0,20,Tienda,1.0
PED-10244,2025-06-23,Sur,Hogar,Cafetera Expres,5,189.0,0,Tienda,4.0
PED-10083,2025-06-24,Oeste,Deporte,Esterilla Yoga,7,32.0,5,Online,4.0
PED-10341,2025-06-24,Oeste,Hogar,Robot Aspirador,2,279.0,10,Online,5.0
PED-10242,2025-06-24,Este,Oficina,Organizador,3,21.0,10,Tienda,2.0
PED-10035,2025-06-25,Este,Electronica,"Tablet 10""",6,219.0,20,Tienda,4.0
PED-10406,2025-06-25,Norte,Oficina,"Monitor 27""",7,199.0,20,Online,4.0
PED-10175,2025-06-26,Oeste,Electronica,Cargador USB-C,7,18.5,0,Online,3.0
PED-10251,2025-06-28,Este,Hogar,Cafetera Expres,3,189.0,0,Online,5.0
PED-10295,2025-06-29,Este,Hogar,Lampara LED,4,27.5,0,Online,3.0
PED-10407,2025-06-30,Centro,Hogar,Robot Aspirador,1,279.0,10,Tienda,3.0
PED-10300,2025-07-01,Oeste,Oficina,Teclado Mecanico,4,89.9,0,Marketplace,3.0
PED-10397,2025-07-01,Norte,Deporte,Zapatilla Trail,4,119.0,0,Online,5.0
PED-10133,2025-07-01,Este,Hogar,Cafetera Expres,5,189.0,5,Marketplace,3.0
PED-10215,2025-07-02,Norte,Deporte,Mochila 30L,8,64.0,0,Online,1.0
PED-10315,2025-07-02,Norte,Oficina,"Monitor 27""",5,199.0,10,Tienda,4.0
PED-10157,2025-07-04,Centro,Deporte,Mochila 30L,7,64.0,5,Tienda,1.0
PED-10372,2025-07-04,Sur,Deporte,Bidon 750ml,8,14.9,20,Tienda,1.0
PED-10002,2025-07-04,Este,Oficina,Teclado Mecanico,8,89.9,0,Online,3.0
PED-10159,2025-07-05,Norte,Deporte,Zapatilla Trail,5,119.0,0,Online,2.0
PED-10109,2025-07-05,Centro,Electronica,"Tablet 10""",3,219.0,0,Tienda,1.0
PED-10189,2025-07-06,Este,Electronica,Cargador USB-C,7,18.5,0,Online,1.0
